minutes_watched,CLV,region_0,region_1,region_2,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8
302,150,0,0,1,0,0,1,0,0,0,0,0
6853,149,0,0,1,0,0,1,0,0,0,0,0
3194,62,0,0,1,0,0,0,0,0,0,1,0
43,63,0,0,1,0,0,1,0,0,0,0,0
2311,147,0,0,1,1,0,0,0,0,0,0,0
2387,207,0,1,0,0,0,0,0,0,1,0,0
2964,313,0,0,1,0,0,0,0,0,0,1,0
2931,184,0,0,1,1,0,0,0,0,0,0,0
1707,149,1,0,0,0,0,0,0,0,0,1,0
13349,64,0,0,1,0,0,1,0,0,0,0,0
2389,331,0,0,1,0,1,0,0,0,0,0,0
1242,331,1,0,0,0,0,1,0,0,0,0,0
997,149,1,0,0,0,0,1,0,0,0,0,0
2058,230,0,1,0,1,0,0,0,0,0,0,0
171,149,1,0,0,1,0,0,0,0,0,0,0
927,212,0,1,0,1,0,0,0,0,0,0,0
229,184,1,0,0,0,0,1,0,0,0,0,0
2575,149,0,0,1,0,0,1,0,0,0,0,0
26240,64,1,0,0,0,0,0,0,0,0,0,1
13035,365,0,1,0,0,0,0,1,0,0,0,0
1162,119,1,0,0,0,0,1,0,0,0,0,0
33,149,1,0,0,1,0,0,0,0,0,0,0
401,323,0,1,0,0,0,1,0,0,0,0,0
8273,207,0,1,0,0,0,1,0,0,0,0,0
3021,172,0,0,1,0,0,0,0,0,0,1,0
291,325,0,0,1,1,0,0,0,0,0,0,0
3500,62,0,0,1,0,1,0,0,0,0,0,0
7692,271,1,0,0,0,0,1,0,0,0,0,0
7638,184,0,0,1,0,0,1,0,0,0,0,0
14810,285,0,0,1,1,0,0,0,0,0,0,0
1187,360,0,1,0,0,0,0,0,0,0,1,0
55284,64,1,0,0,1,0,0,0,0,0,0,0
5849,342,0,0,1,0,0,1,0,0,0,0,0
3632,270,1,0,0,0,0,0,0,0,1,0,0
24213,199,0,0,1,0,0,0,1,0,0,0,0
357,149,0,0,1,1,0,0,0,0,0,0,0
5605,304,0,1,0,0,0,1,0,0,0,0,0
9074,119,1,0,0,0,1,0,0,0,0,0,0
3997,343,0,1,0,0,0,1,0,0,0,0,0
1443,313,0,0,1,0,0,0,0,0,0,1,0
1409,19,0,0,1,0,0,0,0,0,0,0,1
48,119,0,0,1,0,0,0,1,0,0,0,0
1268,313,0,0,1,1,0,0,0,0,0,0,0
46,63,0,0,1,0,0,0,1,0,0,0,0
8231,174,1,0,0,1,0,0,0,0,0,0,0
20799,174,1,0,0,1,0,0,0,0,0,0,0
957,269,1,0,0,0,0,0,0,0,0,1,0
348,174,1,0,0,0,0,1,0,0,0,0,0
2522,313,1,0,0,0,0,1,0,0,0,0,0
14187,267,1,0,0,0,0,1,0,0,0,0,0
3750,331,1,0,0,0,0,1,0,0,0,0,0
1407,146,1,0,0,1,0,0,0,0,0,0,0
1915,62,0,0,1,1,0,0,0,0,0,0,0
72,259,0,0,1,0,0,0,0,0,0,1,0
1354,119,0,0,1,0,0,0,0,0,0,0,1
263,182,0,1,0,0,0,0,0,0,1,0,0
585,149,0,0,1,0,0,1,0,0,0,0,0
1569,302,1,0,0,0,0,1,0,0,0,0,0
2031,174,1,0,0,1,0,0,0,0,0,0,0
3468,443,1,0,0,0,0,1,0,0,0,0,0
247,119,1,0,0,0,0,1,0,0,0,0,0
1231,184,1,0,0,0,0,1,0,0,0,0,0
54,49,1,0,0,1,0,0,0,0,0,0,0
289,121,0,0,1,1,0,0,0,0,0,0,0
444,77,0,0,1,0,0,0,1,0,0,0,0
423,36,1,0,0,0,0,0,0,0,0,0,1
629,150,0,0,1,0,0,1,0,0,0,0,0
507,62,0,0,1,1,0,0,0,0,0,0,0
2483,184,0,0,1,0,0,1,0,0,0,0,0
8867,245,0,0,1,1,0,0,0,0,0,0,0
32131,292,0,1,0,0,0,1,0,0,0,0,0
2623,149,0,0,1,0,0,1,0,0,0,0,0
909,149,0,0,1,0,0,1,0,0,0,0,0
21279,269,0,0,1,0,0,0,0,0,0,1,0
356,149,0,0,1,0,0,0,0,0,1,0,0
8022,48,1,0,0,0,0,1,0,0,0,0,0
1502,269,0,0,1,0,1,0,0,0,0,0,0
94,149,0,0,1,0,0,1,0,0,0,0,0
32947,217,0,0,1,0,0,0,0,0,1,0,0
9723,157,0,0,1,0,0,0,0,0,1,0,0
20292,245,0,0,1,0,0,0,0,0,0,0,1
3704,61,0,0,1,1,0,0,0,0,0,0,0
9930,62,0,0,1,0,0,0,1,0,0,0,0
1869,149,0,0,1,0,0,0,0,0,1,0,0
2283,246,1,0,0,0,0,1,0,0,0,0,0
780,149,0,0,1,0,1,0,0,0,0,0,0
34,358,0,1,0,0,1,0,0,0,0,0,0
771,162,0,0,1,0,1,0,0,0,0,0,0
12035,217,0,0,1,1,0,0,0,0,0,0,0
364,62,0,0,1,0,0,0,1,0,0,0,0
163,270,0,0,1,0,0,0,1,0,0,0,0
3001,24,0,0,1,1,0,0,0,0,0,0,0
19622,245,0,0,1,0,0,1,0,0,0,0,0
4384,245,0,0,1,1,0,0,0,0,0,0,0
1224,269,0,0,1,0,0,1,0,0,0,0,0
538,149,0,0,1,0,0,0,0,0,1,0,0
1116,149,0,0,1,1,0,0,0,0,0,0,0
1518,150,1,0,0,1,0,0,0,0,0,0,0
512,300,1,0,0,0,0,0,1,0,0,0,0
189,150,0,0,1,0,0,1,0,0,0,0,0
2781,184,1,0,0,0,0,1,0,0,0,0,0
484,9,0,0,1,1,0,0,0,0,0,0,0
1416,19,0,0,1,0,0,1,0,0,0,0,0
831,149,0,0,1,0,1,0,0,0,0,0,0
1852,62,0,0,1,0,0,1,0,0,0,0,0
176,36,0,0,1,0,0,1,0,0,0,0,0
488,121,1,0,0,1,0,0,0,0,0,0,0
25571,144,1,0,0,0,0,1,0,0,0,0,0
616,348,1,0,0,0,0,1,0,0,0,0,0
694,184,0,0,1,0,1,0,0,0,0,0,0
1512,174,0,0,1,0,0,0,1,0,0,0,0
929,149,1,0,0,1,0,0,0,0,0,0,0
3153,99,0,1,0,1,0,0,0,0,0,0,0
14177,230,1,0,0,1,0,0,0,0,0,0,0
1914,174,0,0,1,1,0,0,0,0,0,0,0
382,174,1,0,0,1,0,0,0,0,0,0,0
81,331,1,0,0,0,0,1,0,0,0,0,0
1827,149,0,0,1,0,0,0,0,0,0,0,1
1548,184,0,0,1,0,0,1,0,0,0,0,0
5193,174,1,0,0,0,0,1,0,0,0,0,0
26,149,1,0,0,0,0,1,0,0,0,0,0
756,174,0,1,0,0,0,0,1,0,0,0,0
5454,149,0,0,1,1,0,0,0,0,0,0,0
620,184,1,0,0,1,0,0,0,0,0,0,0
229,174,1,0,0,0,0,0,1,0,0,0,0
371,173,0,0,1,1,0,0,0,0,0,0,0
1517,173,1,0,0,0,0,0,0,0,0,0,1
188,119,1,0,0,0,0,0,1,0,0,0,0
1360,174,0,0,1,0,1,0,0,0,0,0,0
11949,378,0,1,0,0,1,0,0,0,0,0,0
749,172,1,0,0,0,0,0,0,0,0,1,0
46,145,0,1,0,1,0,0,0,0,0,0,0
2252,394,0,1,0,1,0,0,0,0,0,0,0
15353,626,0,0,1,0,0,1,0,0,0,0,0
8623,335,0,1,0,1,0,0,0,0,0,0,0
920,174,1,0,0,0,0,1,0,0,0,0,0
654,141,0,0,1,0,0,0,1,0,0,0,0
115,147,0,0,1,0,0,1,0,0,0,0,0
173,62,0,0,1,1,0,0,0,0,0,0,0
1749,182,0,1,0,0,0,1,0,0,0,0,0
520,178,0,1,0,0,0,0,0,0,0,1,0
2729,413,0,1,0,0,0,0,0,0,0,1,0
491,72,0,0,1,0,0,0,0,0,0,1,0
1335,174,0,0,1,0,0,1,0,0,0,0,0
5306,270,0,1,0,0,0,1,0,0,0,0,0
5561,184,1,0,0,0,0,1,0,0,0,0,0
3697,64,1,0,0,0,0,1,0,0,0,0,0
